Tam,Domínio,Descrição,A,AAAA,www A,www AAAA,www CNAME,"Senão, tem outro registro DNS?"
3,ubm.br,Universidade de Barra Mansa,23.101.202.50,,23.101.202.50,,,
3,ucb.br,Universidade Católica de Brasília,20.197.226.217,,20.197.226.217,,,
3,ucg.br,Universidade Católica de Goiás,200.18.170.245,,200.18.170.245,,,
3,ucl.br,Faculdade do Centro Leste,"54.94.106.214
54.94.131.211",,"54.94.106.214
54.94.131.211",,,
3,ucp.br,Universidade Católica de Petrópolis,200.156.15.86,,200.156.15.86,,,
3,ucs.br,Universidade Caxias do Sul,200.160.128.48,2801:80:680:f0c5::48,200.160.128.48,2801:80:680:f0c5::48,,
3,udc.br,Centro Universitário Dinâmica das Cataratas,54.232.210.198,,,,@,
3,udi.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ueg.br,Universidade Estadual de Goiás,200.137.241.2,,,,morpheus.ueg.br,
3,uel.br,Universidade Estadual de Londrina,189.90.65.203,,,,srv-app-14.uel.br,
3,uem.br,Universidade Estadual de Maringá,186.233.154.97,,,,WebGateway.uem.br,
3,ufc.br,Universidade Federal do Ceará,200.17.41.185,,200.17.41.185,,,
3,uff.br,Universidade Federal Fluminense,200.20.0.21,,200.20.0.21,,,
3,ufg.br,Universidade Federal de Goiás,200.137.218.130,2001:12f0:c0b:2::130,200.137.218.130,2001:12f0:c0b:2::130,,
3,ufs.br,Universidade Federal de Sergipe,200.17.141.60,,,,mosqueiro.ufs.br,
3,ufu.br,Universidade Federal de Uberlândia,200.19.146.101,,200.19.145.55,,,
3,ufv.br,Universidade Federal de Viçosa,200.235.128.245,,,,w1.srv.ufv.br,
3,uib.br,?,,,,,,"NS, SOA"
3,uit.br,Universidade de Itaúna,186.202.153.93,,,,@,
3,umc.br,Universidade de Mogi das Cruzes,,,,,bulgaria.umc.br,
3,una.br,União de Negócios e Administração,"99.84.22.112
99.84.22.120
99.84.22.18
99.84.22.74",,"99.84.22.112
99.84.22.120
99.84.22.18
99.84.22.74",,,
3,unb.br,Universidade de Brasília,164.41.102.70,,164.41.102.70,,,
3,unc.br,Universidade do Contestado,34.201.96.90,,34.201.96.90,,,
3,ung.br,Universidade Guarulhos,"179.185.54.134
189.80.207.106",,,,ung.br.edgekey.net,
3,unp.br,Universidade Potiguar,104.18.2.237,,,,www.unp.br.cdn.cloudflare.net,
3,upe.br,Universidade de Pernambuco,200.133.1.2,,200.133.1.2,,,
3,upf.br,Universidade de Passo Fundo,20.206.68.155,,20.206.68.155,,,
3,uri.br,Universidade Regional Integrada do Alto Uruguai e das Missões,200.203.105.101,,200.203.105.101,,,
3,usc.br,Universidade do Sagrado Coração,144.217.139.36,,144.217.139.36,,,
3,usf.br,Universidade São Francisco,,,,,,"MX, NS, SOA, TXT"
3,usp.br,Universidade de São Paulo,200.144.248.41,2001:12d0:c000:91::41,,,rubus.uspnet.usp.br,
3,uss.br,Universidade Severino Sombra,,,192.100.251.51,,,
3,usu.br,Universidade Santa Úrsula,200.251.23.9,,200.251.23.9,,,
3,utp.br,Universidade Tuiuti do Paraná,18.231.55.227,,18.231.55.227,,,
3,uva.br,Universidade Veiga de Almeida,"104.22.42.195
104.22.43.195
172.67.26.247","2606:4700:10::6816:2ac3
2606:4700:10::6816:2bc3
2606:4700:10::ac43:1af7","104.22.42.195
104.22.43.195
172.67.26.247","2606:4700:10::6816:2ac3
2606:4700:10::6816:2bc3
2606:4700:10::ac43:1af7",,
3,uvv.br,Universidade Vila Velha,162.241.3.34,,162.241.3.34,,,
3,vet.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,vip.br,BRVIP / Casa do Adubo??,177.137.234.163,,177.137.234.163,,,
3,vix.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,w3c.br,World Wide Web Consortium Escritório Brasil,200.160.4.153,2001:12ff:0:4144:f816:3eff:feed:8a89,,,@,
3,zlg.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
4,acai.br,Açaí.br (UFPA),143.137.191.8,,143.137.191.8,,,
4,aedb.br,Associação Educacional Dom Bosco,,,186.202.153.75,,@,
4,aeso.br,Ensino Superior de Olinda,67.23.234.77,,,,@,
4,aiec.br,Associação Internacional de Educação Continuada,"186.195.44.235
187.72.203.5",,"186.195.44.235
187.72.203.5",,,
4,alfa.br,Faculdades Alves Faria,,,,,,"MX, RRSIG"
4,alie.br,Associação Limeirense de Educação,186.202.153.125,,,,@,
4,ansp.br,Academic Network at São Paulo,143.108.30.37,2001:12d8:88:30::37,143.108.30.37,2001:12d8:88:30::37,,
4,avec.br,Associação Vilhenense de Educação e Cultura,192.185.213.103,,,,@,
4,blog.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
4,cbpf.br,Centro Brasileiro de Pesquisas Físicas,152.84.50.20,,152.84.253.55,,,
4,ccap.br,Fundação Escola de Comércio Álvares Penteado,,,,,,"NS, SOA"
4,ccsm.br,Centro de Citricultura Sylvio Moreira,191.6.209.237,,,,web1147.kinghost.net,
4,cdtn.br,Centro de Desenvolvimento da Tecnologia Nuclear,200.17.181.17,,,,radion.cdtn.br,
4,ceam.br,?,67.192.184.63,,,,@,
4,ceap.br,Centro de Ensino Superior do Amapá,161.35.121.81,,161.35.121.81,,,
4,cert.br,"Centro de Estudos, Resposta e Tratamento de Incidentes de Segurança no Brasil","200.160.7.17
200.160.7.7","2001:12ff:0:7000::17
2001:12ff:0:7000::7","200.160.7.17
200.160.7.7","2001:12ff:0:7000::17
2001:12ff:0:7000::7",,
4,cesb.br,Faculdade Alfacastelo,186.202.157.79,,,,@,
4,cesc.br,Centro de Ensino Superior de Cotia,200.201.210.31,,200.201.210.31,,,
4,cesd.br,Centro de Ensino Superior de Dracena,192.185.213.103,,,,@,
